CN_ID,IND_ID,CHQ_ID,EM2021,EM2020,EM2019,EM2018,EM2017,RU2021,RU2020,RU2019,RU2018,RU2017,EI2021,EI2020,EI2019,EI2018,EI2017,ROA2021,ROA2020,ROA2019,ROA2018,ROA2017,ROE2021,ROE2020,ROE2019,ROE2018,ROE2017,FS2021,FS2020,FS2019,FS2018,FS2017,LV2021,LV2020,LV2019,LV2018,LV2017
1,2,1,59.415584,62.244898,64.634146,66.500000,70.348837,57.692308,57.089552,45.089286,55.747126,52.027027,0.000000,0.000000,0.000000,0.000000,0.000000,0.062133,0.061922,0.048788,0.057259,-0.003778,0.141931,0.138858,0.101189,0.118412,-0.007407,22.714080,22.632010,22.641684,22.702952,22.747134,0.376769,0.301842,0.332004,0.347779,0.334881
2,2,1,36.440678,35.964912,50.000000,51.818182,43.000000,35.964912,36.792453,20.754717,35.576923,16.304348,50.000000,50.000000,50.000000,50.000000,0.000000,0.047013,0.015348,0.011737,0.050389,0.049962,0.107257,0.034008,0.025816,0.105151,0.104290,22.494671,22.420421,22.544852,22.559036,22.287906,0.224894,0.142302,0.234121,0.100162,0.229117
3,2,1,69.285714,70.338983,57.017544,31.818182,35.454545,44.029851,39.473684,40.566038,36.792453,25.961538,50.000000,50.000000,50.000000,50.000000,50.000000,0.026121,0.045804,0.046618,0.105366,0.027344,0.221638,0.227088,0.174065,0.431847,0.058458,22.112328,22.004239,22.014170,22.112557,22.596864,0.558066,0.601182,0.592452,0.445909,0.426005
4,1,2,76.530612,75.203252,62.500000,72.674419,62.676056,92.910448,93.303571,95.977011,92.567568,81.884058,0.000000,0.000000,0.000000,0.000000,0.000000,0.060561,-0.004981,0.040825,0.079161,0.100247,0.283454,-0.033133,0.226465,0.378394,0.420039,22.272495,22.277598,22.166444,22.067820,22.081137,0.195132,0.207382,0.218713,0.248842,0.012002
5,3,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015718,0.026226,0.057307,0.061943,0.071594,-0.026849,0.045929,0.123574,0.126914,0.141771,21.291634,21.362402,21.549070,21.518131,21.528267,0.276344,0.321604,0.333450,0.322718,0.354017
6,3,3,8.943089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.085308,-0.084915,-0.115252,-0.021370,0.666030,-0.149667,-0.139810,-0.148100,-0.027126,0.921267,20.191133,20.267618,20.100051,20.232346,20.343198,0.210116,0.268003,0.118748,0.137731,0.137765
7,2,4,70.408163,73.577236,63.500000,71.511628,71.126761,78.731343,78.125000,63.793103,76.351351,47.101449,50.000000,50.000000,50.000000,50.000000,50.000000,0.003125,0.006473,0.023703,0.009743,-0.009943,0.010175,0.019833,0.093266,0.032929,-0.033646,22.880648,22.902467,22.823657,22.668119,22.792569,0.414245,0.379186,0.324521,0.356359,0.307933
8,2,5,96.258503,96.341463,98.500000,99.418605,86.619718,70.522388,69.196429,91.379310,89.864865,89.130435,50.000000,50.000000,50.000000,50.000000,50.000000,0.100787,0.076355,0.096291,0.105013,0.192617,0.215090,0.174088,0.233690,0.245338,0.435159,24.371806,24.284187,24.241248,24.131842,24.121756,0.246693,0.267655,0.269299,0.275756,0.229451
9,2,5,31.493506,13.945578,16.666667,22.500000,18.269231,22.727273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037688,0.037242,0.041297,-0.026604,0.037420,0.081511,0.071372,0.078701,-0.048756,0.066189,21.142824,21.023013,21.021190,20.911322,21.053972,0.299149,0.333437,0.329365,0.292970,0.260930
10,2,5,93.537415,94.715447,94.500000,90.116279,82.394366,90.671642,92.410714,86.781609,65.540541,67.391304,50.000000,50.000000,50.000000,50.000000,0.000000,0.041832,0.103384,0.109089,0.091794,0.092575,0.084306,0.333925,0.345169,0.294002,0.289576,24.711567,23.644830,23.569566,23.469609,23.496441,0.271954,0.357445,0.358296,0.378094,0.360864
11,2,5,2.721088,2.439024,5.000000,4.651163,4.225352,35.820896,38.839286,33.908046,23.648649,27.536232,0.000000,0.000000,0.000000,0.000000,0.000000,0.115478,0.072812,0.069603,0.075863,0.021284,0.299220,0.156616,0.210667,0.194846,0.056064,22.473009,22.070625,21.978546,21.811771,21.809753,0.216319,0.215621,0.371065,0.360104,0.386565
12,3,6,2.721088,2.439024,5.000000,4.651163,4.225352,7.462687,8.035714,7.471264,4.729730,5.797101,0.000000,0.000000,0.000000,0.000000,0.000000,0.532773,0.073374,0.051760,0.008283,-0.082451,0.657442,0.081811,0.058583,0.008779,-0.088233,22.519218,21.833817,21.646485,21.537691,21.541266,0.023134,0.054378,0.068999,0.037287,0.041382
14,1,7,50.324675,38.435374,41.056911,40.500000,42.441860,63.286713,60.074627,60.267857,58.045977,53.378378,0.000000,0.000000,0.000000,0.000000,0.000000,0.049977,0.041849,0.045297,0.043973,0.036970,0.112191,0.090463,0.098570,0.116374,0.107522,23.182630,23.034529,22.908433,22.914245,22.982877,0.162086,0.097978,0.136428,0.194656,0.162133
13,2,7,54.220779,52.040816,43.495935,49.500000,47.093023,24.475524,29.477612,35.267857,32.758621,30.405405,0.000000,0.000000,0.000000,0.000000,0.000000,0.061352,0.056326,0.092333,0.099652,0.096179,0.097920,0.086677,0.120031,0.136571,0.132474,24.165503,24.100643,23.780336,23.778562,23.783173,0.208476,0.213581,0.060681,0.069166,0.071488
15,3,7,95.578231,97.967480,99.500000,50.581395,41.549296,75.746269,75.446429,76.436782,42.567568,45.652174,50.000000,50.000000,50.000000,0.000000,0.000000,0.215864,0.036507,0.025795,0.005391,0.019986,0.670924,0.226058,0.191294,0.053745,0.128787,24.899544,24.453155,24.352027,24.225278,23.742272,0.143247,0.268277,0.352835,0.284384,0.326023
16,1,8,77.597403,67.006803,50.813008,45.500000,45.930233,99.650350,99.626866,73.660714,71.839080,72.297297,50.000000,50.000000,50.000000,50.000000,50.000000,0.069426,0.044156,0.037927,0.103061,0.077654,0.151208,0.089691,0.074853,0.274706,0.200944,23.929107,23.483173,23.407283,22.508548,22.545800,0.105288,0.079958,0.066259,0.164176,0.163905
17,3,8,84.090909,80.612245,81.707317,80.500000,84.302326,82.867133,80.970149,88.839286,89.080460,88.513514,50.000000,50.000000,50.000000,50.000000,50.000000,0.248260,0.050787,0.008466,-0.011126,-0.003717,0.403119,0.095477,0.016692,-0.019320,-0.007677,25.003689,24.750705,24.737827,24.759663,24.869997,0.059706,0.104567,0.134569,0.141924,0.202176
18,3,8,65.259740,64.285714,57.317073,52.500000,52.906977,54.195804,46.641791,43.303571,43.103448,47.972973,50.000000,50.000000,50.000000,50.000000,50.000000,0.083350,0.047128,0.011019,0.019642,0.018518,0.205879,0.095291,0.022352,0.034791,0.029439,21.620781,21.324736,21.278529,21.104731,21.005783,0.163358,0.154757,0.154040,0.140987,0.147335
20,1,9,91.496599,84.146341,79.500000,83.139535,88.028169,93.656716,98.660714,99.425287,99.324324,99.275362,50.000000,50.000000,50.000000,50.000000,50.000000,0.079460,0.053863,0.050279,0.041114,0.070154,0.265430,0.216230,0.185804,0.152686,0.214687,25.003973,24.936081,24.791976,24.781703,24.560371,0.106491,0.130399,0.107152,0.121102,0.128853
19,3,9,60.064935,54.761905,54.065041,54.500000,56.395349,39.510490,73.507463,72.767857,70.689655,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339688,0.061043,0.022345,0.002405,0.001882,0.561926,0.138195,0.054794,0.005889,0.004615,24.136692,23.643443,23.622524,23.588261,23.601759,0.096281,0.212713,0.274382,0.342533,0.373360
21,2,10,43.877551,44.308943,32.500000,15.697674,11.971831,61.567164,54.910714,20.689655,16.216216,5.797101,0.000000,0.000000,0.000000,0.000000,0.000000,0.011748,-0.007675,-0.019272,0.009214,0.003345,0.105109,-0.069647,-0.146238,0.054201,0.016891,22.474159,22.490863,22.376375,22.367068,22.256879,0.539097,0.602311,0.553679,0.445989,0.510948
24,1,11,89.024390,82.500000,80.813953,61.267606,65.000000,95.089286,90.229885,91.216216,96.376812,96.268657,50.000000,0.000000,0.000000,0.000000,0.000000,0.009357,0.029350,0.035845,0.025325,0.056584,0.025687,0.090456,0.080187,0.056410,0.149123,22.481100,22.466638,22.597834,22.765106,22.794310,0.137399,0.131624,0.115439,0.097791,0.158050
22,3,11,98.376623,98.299320,98.780488,96.500000,95.930233,88.461538,86.194030,84.375000,81.034483,61.486486,50.000000,50.000000,50.000000,50.000000,50.000000,0.449810,0.084806,0.013747,0.007504,0.014642,0.737164,0.159997,0.031251,0.015934,0.031487,23.486245,23.088314,23.139346,23.031222,23.032757,0.013374,0.077065,0.092229,0.145999,0.179473
23,3,11,76.948052,84.693878,51.626016,42.500000,43.604651,61.888112,58.582090,62.053571,52.298851,37.162162,0.000000,0.000000,0.000000,0.000000,0.000000,0.307715,-0.095102,0.010494,0.030548,0.001618,0.461336,-0.195609,0.019691,0.058710,0.003109,21.733204,21.506951,21.596330,21.584554,21.525981,0.189902,0.354026,0.307447,0.311628,0.348126
25,2,12,26.623377,32.312925,24.796748,5.000000,4.651163,34.965035,33.208955,37.053571,22.988506,20.945946,50.000000,0.000000,0.000000,0.000000,0.000000,0.081154,0.040704,0.034308,0.096218,0.097892,0.098100,0.049586,0.040258,0.119257,0.114671,21.261477,21.252031,21.171144,21.338609,21.240332,0.004266,0.004980,0.005398,0.005469,0.005678
26,1,13,98.979592,99.593496,90.500000,94.767442,90.845070,95.149254,95.982143,94.827586,95.270270,94.927536,50.000000,0.000000,0.000000,0.000000,0.000000,0.005542,0.004432,0.005660,0.006698,0.003400,0.130392,0.104938,0.138379,0.172610,0.091258,26.503020,26.530295,26.305940,26.202098,26.216834,0.030629,0.033610,0.031060,0.027068,0.016766
27,1,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025181,0.024786,0.039491,0.032246,0.031885,0.040140,0.039741,0.060653,0.050570,0.050253,22.451843,22.527068,22.529416,22.504357,22.501076,0.051104,0.049878,0.014024,0.015760,0.017187
31,1,14,99.025974,99.659864,93.902439,87.500000,85.465116,69.580420,66.044776,61.160714,39.655172,38.513514,50.000000,50.000000,50.000000,0.000000,0.000000,0.115790,0.094074,0.061201,0.056982,0.050692,0.215041,0.186631,0.123166,0.122194,0.109314,22.748356,22.688803,22.695444,22.652183,22.623513,0.065214,0.091786,0.100949,0.123531,0.137829
28,3,14,97.077922,89.455782,88.211382,85.500000,86.627907,64.685315,54.850746,54.017857,53.448276,46.621622,50.000000,50.000000,50.000000,50.000000,50.000000,0.263825,0.042973,0.015545,0.012591,-0.021293,0.555783,0.155495,0.063352,0.051011,-0.092309,23.818105,23.664018,23.694577,23.681155,23.764932,0.284587,0.375177,0.398394,0.390819,0.396698
29,3,14,95.779221,90.136054,93.089431,89.500000,92.441860,89.160839,88.432836,89.732143,60.344828,58.783784,50.000000,50.000000,50.000000,50.000000,50.000000,0.327629,0.065505,0.016103,-0.022231,0.009735,0.588842,0.222649,0.067286,-0.091295,0.036544,23.954728,23.678195,23.612461,23.616932,23.693471,0.176644,0.314241,0.388935,0.396365,0.399773
30,3,14,89.935065,75.170068,71.951220,74.500000,75.000000,76.573427,69.029851,68.303571,66.091954,60.135135,50.000000,0.000000,0.000000,0.000000,0.000000,0.407899,0.111528,0.005881,-0.116883,0.010016,0.726204,0.498162,0.052129,-1.073473,0.047855,23.284021,22.898477,22.843527,22.872967,23.001354,0.176507,0.341474,0.430881,0.437005,0.416385
35,1,15,67.687075,61.382114,51.500000,51.744186,50.000000,92.164179,94.196429,72.988506,34.459459,38.405797,50.000000,50.000000,50.000000,50.000000,0.000000,0.064325,0.055621,0.049589,0.050343,0.083133,0.134925,0.119674,0.107557,0.102665,0.170582,23.050078,23.030818,22.895446,22.777862,22.761390,0.082956,0.086362,0.062597,0.075461,0.086478
32,2,15,78.571429,79.268293,77.500000,66.860465,68.309859,83.208955,82.589286,67.241379,70.945946,71.739130,50.000000,50.000000,50.000000,50.000000,50.000000,0.006087,0.012758,0.004361,0.006693,0.007441,0.015353,0.036856,0.013279,0.019844,0.019915,22.747578,22.908458,22.789345,22.678813,22.497328,0.122295,0.142813,0.167479,0.201262,0.231670
33,3,15,92.857143,92.276423,88.500000,81.976744,93.661972,82.462687,91.517857,82.183908,87.162162,93.478261,50.000000,50.000000,50.000000,50.000000,50.000000,0.298558,0.013217,-0.082390,-0.191860,-0.330612,0.515296,0.073422,-0.541705,-0.761428,-1.331014,23.434493,22.880046,22.548507,22.032140,21.940611,0.024642,0.113295,0.214534,0.231439,0.508231
34,3,15,2.721088,2.439024,5.000000,4.651163,35.915493,7.462687,8.035714,7.471264,4.729730,17.391304,0.000000,0.000000,0.000000,0.000000,0.000000,0.084655,0.019859,0.034098,0.036997,0.036734,0.152719,0.032968,0.052619,0.057648,0.059881,22.421103,22.181045,22.073813,22.031668,22.018535,0.038079,0.041214,0.037957,0.036637,0.025798
36,3,15,27.857143,29.661017,30.701754,48.181818,53.636364,17.910448,41.228070,50.000000,48.113208,52.884615,0.000000,0.000000,0.000000,50.000000,50.000000,-0.025291,-0.070054,-0.075680,-0.057359,-0.073262,-0.239701,-0.767204,-1.182526,-0.490056,-0.405073,22.566691,22.776296,23.033853,23.062634,22.991772,0.119132,0.091931,0.096125,0.275586,0.282399
37,1,16,68.367347,65.447154,71.500000,54.069767,51.408451,80.223881,85.267857,84.482759,80.405405,84.782609,50.000000,50.000000,50.000000,50.000000,50.000000,0.008342,0.012912,0.041668,0.044006,0.039625,0.012042,0.025667,0.078845,0.080027,0.070353,22.986703,22.735691,22.651177,22.528439,22.468931,0.140542,0.145651,0.118968,0.112550,0.049796
38,3,17,55.442177,33.739837,15.000000,15.697674,11.971831,32.462687,34.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098733,0.002949,0.032869,0.022040,0.029264,0.252113,0.006581,0.070176,0.049545,0.059806,22.206469,21.825377,21.825856,21.838673,21.635668,0.492330,0.433506,0.400538,0.379979,0.258869
39,3,17,47.278912,52.439024,0.500000,0.000000,0.000000,25.746269,26.339286,0.574713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025056,-0.774000,0.026810,-0.007453,-0.036343,0.032606,-2.465106,0.051035,-0.014751,-0.065105,20.509172,20.581927,21.233427,21.256142,21.220039,0.065672,0.181424,0.199701,0.364579,0.395332
40,1,18,91.883117,88.095238,84.959350,65.500000,65.697674,93.356643,94.402985,86.160714,62.643678,57.432432,50.000000,50.000000,50.000000,50.000000,50.000000,0.091385,0.094957,0.033676,0.074794,0.086058,0.532864,0.990521,-3.428571,2.760870,5.264706,21.761356,21.712093,21.597359,21.389775,21.637623,0.280596,0.316220,0.325070,0.234393,0.191346
41,1,18,56.428571,46.610169,58.771930,75.454545,70.000000,75.373134,72.807018,80.188679,72.641509,77.884615,0.000000,0.000000,50.000000,50.000000,50.000000,-0.013239,-0.044424,-0.028767,0.003806,-0.057860,-0.025443,-0.086679,-0.050413,0.006496,-0.096728,22.247969,22.366892,22.486151,22.497160,22.529164,0.000946,0.002806,0.008017,0.007164,0.008934
42,1,19,52.272727,45.918367,27.235772,34.500000,0.581395,20.629371,19.776119,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.047593,0.045060,0.108385,0.110866,0.112719,0.146636,0.149470,0.231363,0.240726,0.257245,20.404413,20.334256,19.788574,19.753701,19.796548,0.157215,0.206093,0.286317,0.288574,0.307915
43,1,19,23.701299,14.625850,18.292683,5.000000,4.651163,24.475524,22.761194,23.214286,22.988506,20.945946,0.000000,0.000000,0.000000,0.000000,0.000000,0.117372,0.075640,0.064209,0.093875,0.081357,0.248656,0.168702,0.153129,0.168295,0.157850,21.465003,21.275198,21.039650,20.745284,20.719165,0.058127,0.084442,0.116158,0.158796,0.196668
44,3,20,17.283951,26.422764,23.387097,31.250000,27.551020,13.125000,28.125000,12.295082,20.175439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013530,0.001011,-0.009249,0.270384,-0.043916,0.024096,0.001635,-0.014239,0.424236,-0.094049,19.822152,19.667569,19.688475,19.721057,20.247191,0.086678,0.080115,0.060626,0.052162,0.222192
